Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,373000.0,7,131000.0,2745000.0,2025-01-05,1:08:00 PM,Ví điện tử (Momo/Zalopay),2614000.0,4.761904762,131000.0,9.1
226-31-3081,CN Hải Châu,Đà Nẵng,Khách thường,Nữ,Phụ kiện điện tử,76000.0,5,19000.0,401000.0,2025-03-08,10:29:00 AM,Tiền mặt,382000.0,4.761904762,19000.0,9.6
631-41-3108,CN Quận 1,TP. Hồ Chí Minh,Khách thường,Nữ,Nhà cửa và đời sống,232000.0,7,81000.0,1703000.0,2025-03-03,1:23:00 PM,Thẻ ngân hàng,1622000.0,4.761904762,81000.0,7.4
123-19-1176,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,291000.0,8,116000.0,2445000.0,2025-01-27,8:33:00 PM,Ví điện tử (Momo/Zalopay),2329000.0,4.761904762,116000.0,8.4
373-73-7910,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Thể thao và du lịch,432000.0,7,151000.0,3172000.0,2025-02-08,10:37:00 AM,Ví điện tử (Momo/Zalopay),3021000.0,4.761904762,151000.0,5.3
699-14-3026,CN Hải Châu,Đà Nẵng,Thành viên,Nữ,Phụ kiện điện tử,427000.0,7,149000.0,3138000.0,2025-03-25,6:30:00 PM,Ví điện tử (Momo/Zalopay),2989000.0,4.761904762,149000.0,4.1
355-53-5943,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Phụ kiện điện tử,344000.0,6,103000.0,2168000.0,2025-02-25,2:36:00 PM,Ví điện tử (Momo/Zalopay),2065000.0,4.761904762,103000.0,5.8
315-22-5665,CN Hải Châu,Đà Nẵng,Thành viên,Nữ,Nhà cửa và đời sống,368000.0,10,184000.0,3862000.0,2025-02-24,11:38:00 AM,Ví điện tử (Momo/Zalopay),3678000.0,4.761904762,184000.0,8.0
665-32-9167,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,181000.0,2,18000.0,381000.0,2025-01-10,5:15:00 PM,Thẻ ngân hàng,363000.0,4.761904762,18000.0,7.2
692-92-5582,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Thực phẩm và đồ uống,274000.0,3,41000.0,864000.0,2025-02-20,1:27:00 PM,Thẻ ngân hàng,823000.0,4.761904762,41000.0,5.9
351-62-0822,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Phụ kiện thời trang,72000.0,4,14000.0,304000.0,2025-02-06,6:07:00 PM,Ví điện tử (Momo/Zalopay),290000.0,4.761904762,14000.0,4.5
529-56-3974,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Phụ kiện điện tử,128000.0,4,26000.0,536000.0,2025-03-09,5:03:00 PM,Tiền mặt,510000.0,4.761904762,26000.0,6.8
365-64-0515,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Phụ kiện điện tử,235000.0,5,59000.0,1232000.0,2025-02-12,10:25:00 AM,Ví điện tử (Momo/Zalopay),1174000.0,4.761904762,59000.0,7.1
252-56-2699,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Thực phẩm và đồ uống,216000.0,10,108000.0,2267000.0,2025-02-07,4:48:00 PM,Ví điện tử (Momo/Zalopay),2160000.0,4.761904762,108000.0,8.2
829-34-3910,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,357000.0,10,178000.0,3747000.0,2025-03-29,7:21:00 PM,Tiền mặt,3569000.0,4.761904762,178000.0,5.7
299-46-1805,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Thể thao và du lịch,469000.0,6,141000.0,2952000.0,2025-01-15,4:19:00 PM,Tiền mặt,2812000.0,4.761904762,141000.0,4.5
656-95-9349,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,345000.0,7,121000.0,2533000.0,2025-03-11,11:03:00 AM,Thẻ ngân hàng,2413000.0,4.761904762,121000.0,4.6
765-26-6951,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Thể thao và du lịch,363000.0,6,109000.0,2287000.0,2025-01-01,10:39:00 AM,Thẻ ngân hàng,2178000.0,4.761904762,109000.0,6.9
329-62-1586,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Thực phẩm và đồ uống,273000.0,3,41000.0,861000.0,2025-01-21,6:00:00 PM,Thẻ ngân hàng,820000.0,4.761904762,41000.0,8.6
319-50-3348,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Nhà cửa và đời sống,202000.0,2,20000.0,423000.0,2025-03-11,3:30:00 PM,Ví điện tử (Momo/Zalopay),403000.0,4.761904762,20000.0,4.4
300-71-4605,CN Hải Châu,Đà Nẵng,Thành viên,Nữ,Phụ kiện điện tử,430000.0,5,108000.0,2259000.0,2025-02-25,11:24:00 AM,Ví điện tử (Momo/Zalopay),2151000.0,4.761904762,108000.0,4.8
371-85-5789,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Sức khoẻ và làm đẹp,440000.0,3,66000.0,1386000.0,2025-03-05,10:40:00 AM,Ví điện tử (Momo/Zalopay),1320000.0,4.761904762,66000.0,5.1
273-16-6619,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Nhà cửa và đời sống,166000.0,2,17000.0,349000.0,2025-03-15,12:20:00 PM,Thẻ ngân hàng,332000.0,4.761904762,17000.0,4.4
636-48-8204,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Phụ kiện điện tử,173000.0,5,43000.0,907000.0,2025-02-17,11:15:00 AM,Ví điện tử (Momo/Zalopay),864000.0,4.761904762,43000.0,9.9
549-59-1358,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Thể thao và du lịch,443000.0,3,66000.0,1396000.0,2025-03-02,5:36:00 PM,Ví điện tử (Momo/Zalopay),1329000.0,4.761904762,66000.0,6.0
227-03-5010,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Nhà cửa và đời sống,263000.0,8,105000.0,2209000.0,2025-03-22,7:20:00 PM,Thẻ ngân hàng,2104000.0,4.761904762,105000.0,8.5
649-29-6775,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Phụ kiện thời trang,168000.0,1,8000.0,176000.0,2025-02-08,3:31:00 PM,Tiền mặt,168000.0,4.761904762,8000.0,6.7
189-17-4241,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Phụ kiện thời trang,438000.0,2,44000.0,921000.0,2025-03-10,12:17:00 PM,Thẻ ngân hàng,877000.0,4.761904762,44000.0,7.7
145-94-9061,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Thực phẩm và đồ uống,442000.0,5,110000.0,2319000.0,2025-01-25,7:48:00 PM,Tiền mặt,2209000.0,4.761904762,110000.0,9.6
848-62-7243,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,124000.0,9,56000.0,1176000.0,2025-03-15,3:36:00 PM,Tiền mặt,1120000.0,4.761904762,56000.0,7.4
871-79-8483,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Phụ kiện thời trang,471000.0,5,118000.0,2471000.0,2025-02-25,7:39:00 PM,Thẻ ngân hàng,2353000.0,4.761904762,118000.0,4.8
149-71-6266,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Thể thao và du lịch,390000.0,9,176000.0,3689000.0,2025-01-28,12:43:00 PM,Tiền mặt,3513000.0,4.761904762,176000.0,4.5
640-49-2076,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Thể thao và du lịch,419000.0,8,168000.0,3519000.0,2025-01-10,2:49:00 PM,Tiền mặt,3351000.0,4.761904762,168000.0,5.1
595-11-5460,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Sức khoẻ và làm đẹp,483000.0,2,48000.0,1014000.0,2025-03-15,10:12:00 AM,Thẻ ngân hàng,966000.0,4.761904762,48000.0,5.1
183-56-6882,CN Hải Châu,Đà Nẵng,Thành viên,Nữ,Thực phẩm và đồ uống,497000.0,4,99000.0,2088000.0,2025-02-06,10:42:00 AM,Ví điện tử (Momo/Zalopay),1988000.0,4.761904762,99000.0,7.5
232-16-2483,CN Hải Châu,Đà Nẵng,Thành viên,Nữ,Thể thao và du lịch,341000.0,1,17000.0,358000.0,2025-01-07,12:28:00 PM,Ví điện tử (Momo/Zalopay),341000.0,4.761904762,17000.0,6.8
129-29-8530,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Thể thao và du lịch,313000.0,5,78000.0,1644000.0,2025-03-10,7:15:00 PM,Ví điện tử (Momo/Zalopay),1566000.0,4.761904762,78000.0,7.0
272-65-1806,CN Quận 1,TP. Hồ Chí Minh,Thành viên,Nữ,Phụ kiện điện tử,304000.0,9,137000.0,2877000.0,2025-01-15,5:17:00 PM,Ví điện tử (Momo/Zalopay),2740000.0,4.761904762,137000.0,4.7
333-73-7901,CN Hải Châu,Đà Nẵng,Thành viên,Nữ,Sức khoẻ và làm đẹp,275000.0,8,110000.0,2307000.0,2025-03-23,1:24:00 PM,Ví điện tử (Momo/Zalopay),2197000.0,4.761904762,110000.0,7.6
777-82-7220,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Nhà cửa và đời sống,151000.0,8,60000.0,1265000.0,2025-03-03,1:01:00 PM,Tiền mặt,1205000.0,4.761904762,60000.0,7.7
280-35-5823,CN Cầu Giấy,Hà Nội,Thành viên,Nữ,Nhà cửa và đời sống,434000.0,1,22000.0,455000.0,2025-01-17,6:45:00 PM,Ví điện tử (Momo/Zalopay),434000.0,4.761904762,22000.0,7.9
